ent_num,sdn_name,sdn_type,programs,remarks,title,call_sign,vessel_type,tonnage,gross_registered_tonnage,flag,vessel_owner
51532,TIS,vessel,UKRAINE-EO13662] [RUSSIA-EO14024,-0- ,UBXP4,Tug,-0- ,-0- ,Russia,-0- ,"Secondary sanctions risk: See Section 11 of Executive Order 14024.; alt. Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Registration Identification IMO 9817779; MMSI 273396740; Linked To: RPK NORD LIMITED LIABILITY COMPANY."
51534,KOLA,vessel,UKRAINE-EO13662] [RUSSIA-EO14024,-0- ,UBDQ5,Floating Storage Tanker,-0- ,-0- ,Russia,-0- ,"Secondary sanctions risk: See Section 11 of Executive Order 14024.; alt. Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Registration Identification IMO 9217979; MMSI 273414140; Linked To: LK VOLGA LIMITED LIABILITY COMPANY."
51548,PANDA,vessel,UKRAINE-EO13662] [IRAN-EO13846] [RUSSIA-EO14024,-0- ,XVJG7,Crude Oil Tanker,-0- ,-0- ,Guyana,-0- ,"Former Vessel Flag Vietnam; Secondary sanctions risk: See Section 11 of Executive Order 14024.; alt. Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Year of Build 2004; Vessel Registration Identification IMO 9284582; MMSI 574005540; Linked To: SAO VIET PETROL TRANSPORTATION COMPANY LIMITED."
51549,IVY,vessel,UKRAINE-EO13662] [IRAN-EO13846] [RUSSIA-EO14024,-0- ,XVJI7,Crude Oil Tanker,-0- ,-0- ,Vietnam,-0- ,"Secondary sanctions risk: See Section 11 of Executive Order 14024.; alt. Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Year of Build 2007; Vessel Registration Identification IMO 9337133; MMSI 574005380; Linked To: SAO VIET PETROL TRANSPORTATION COMPANY LIMITED."
51550,LEOPARD,vessel,UKRAINE-EO13662] [RUSSIA-EO14024,-0- ,XVKF7,Crude Oil Tanker,-0- ,-0- ,Vietnam,-0- ,"Secondary sanctions risk: See Section 11 of Executive Order 14024.; alt. Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Registration Identification IMO 9284594; MMSI 574005550; Linked To: SAO VIET PETROL TRANSPORTATION COMPANY LIMITED."
51551,ASTRA,vessel,UKRAINE-EO13662] [RUSSIA-EO14024,-0- ,XVJT7,Chemical/Oil Tanker,-0- ,-0- ,Vietnam,-0- ,"Secondary sanctions risk: See Section 11 of Executive Order 14024.; alt. Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Registration Identification IMO 9273387; MMSI 574005470; Linked To: SAO VIET PETROL TRANSPORTATION COMPANY LIMITED."
51553,OWENS,vessel,UKRAINE-EO13662] [RUSSIA-EO14024,-0- ,H3XW,LPG Tanker,-0- ,-0- ,Panama,-0- ,"Secondary sanctions risk: See Section 11 of Executive Order 14024.; alt. Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Registration Identification IMO 9223540; MMSI 373482000; Linked To: SAO VIET PETROL TRANSPORTATION COMPANY LIMITED."
51555,ALEXANDER BEGGROV,vessel,UKRAINE-EO13662] [RUSSIA-EO14024,-0- ,-0- ,Products Tanker,-0- ,-0- ,Russia,-0- ,"Secondary sanctions risk: See Section 11 of Executive Order 14024.; alt. Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Registration Identification IMO 9876373; Linked To: JOINT STOCK COMPANY SOVCOMFLOT."
51564,ALEXEY BOGOLYUBOV,vessel,UKRAINE-EO13662] [RUSSIA-EO14024,-0- ,-0- ,Products Tanker,-0- ,-0- ,Russia,-0- ,"Secondary sanctions risk: See Section 11 of Executive Order 14024.; alt. Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Registration Identification IMO 9876361; Linked To: JOINT STOCK COMPANY SOVCOMFLOT."
51565,ARIADNE,vessel,UKRAINE-EO13662] [RUSSIA-EO14024,-0- ,8P2446,Chemical/Oil Tanker,-0- ,-0- ,Barbados,-0- ,"Secondary sanctions risk: See Section 11 of Executive Order 14024.; alt. Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Year of Build 2008; Vessel Registration Identification IMO 9397547; MMSI 314948000; Linked To: JOINT STOCK COMPANY SOVCOMFLOT."
